"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"M04LOCK";"1X04_LOCK";"JP2, JP6";"Header 4";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";
"12";"100";"R-EU_R0603";"R0603";"R4, R7, R8, R10, R12, R15, R16, R17, R18, R19, R22, R23";"RESISTOR, European symbol";"";
"3";"100nF";"C-EUC0603";"C0603";"C3, C14, C15";"CAPACITOR, European symbol";"";
"1";"100nF";"CAP0603-CAP";"0603-CAP";"C2";"Capacitor";"";
"2";"100uF 6.3V";"CPOL-EUSMCB";"SMC_B";"C1, C4";"POLARIZED CAPACITOR, European symbol";"";
"1";"10MHz";"CRYSTALSMD";"HC49UP";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";
"5";"10k";"R-EU_R0603";"R0603";"R3, R13, R14, R20, R21";"RESISTOR, European symbol";"";
"2";"10k lin";"TRIM_EU-3223W";"3223W";"R28, R29";"POTENTIOMETER";"";
"4";"150";"R-EU_R0603";"R0603";"R1, R6, R26, R33";"RESISTOR, European symbol";"";
"2";"20pF";"C-EUC0603";"C0603";"C5, C6";"CAPACITOR, European symbol";"";
"4";"348";"R-EU_R0603";"R0603";"R5, R25, R32, R35";"RESISTOR, European symbol";"";
"2";"4k7";"R-EU_R0603";"R0603";"R30, R31";"RESISTOR, European symbol";"";
"4";"620";"R-EU_R0603";"R0603";"R2, R24, R27, R34";"RESISTOR, European symbol";"";
"2";"BUTTONPAD-2X1";"BUTTONPAD-2X1";"BUTTONPAD-2X1";"U$1, U$3";"";"";
"1";"ENC1";"M04PTH";"1X04";"JP4";"Header 4";"";
"1";"ENC2";"M04PTH";"1X04";"JP5";"Header 4";"";
"1";"ENC3";"M04PTH";"1X04";"JP7";"Header 4";"";
"1";"ENC4";"M04PTH";"1X04";"JP8";"Header 4";"";
"1";"JTAG_10WAY";"JTAG_10WAY";"JTAG_10WAY_1.27MM";"X1";"";"";
"1";"LM1117_3V3";"LM1117_3V3";"SOT223";"U$26";"";"";
"1";"LPC1113/14-LQFP48";"LPC1113/14-LQFP48";"LQFP48";"U$4";"NXP Semiconductors";"";
"1";"M02PTH";"M02PTH";"1X02";"JP9";"Standard 2-pin 0.1" header. Use with";"";
"1";"OPA177S";"OPA177S";"SO08";"IC1";"Precision Operational Amplifier";"";
"12";"PMV31XN";"MOSFET-NREFLOW";"SOT23";"Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14";"N-Channel Mosfet";"";
"1";"SE95DP";"SE95DP";"TSSOP8-SOT505-1";"U2";"";"";
