Qty;Value;Device;Package;Parts;Description
7;Schottky MBR0520L;DIODE-DO214AC;DO214AC;D1, D2, D3, D4, D5, D6, D7, D8;DIODE
2;1;R-EU_R0603;R0603;R2, R3;RESISTOR, European symbol
4;10uF 25V 0805;C-EUC1206;C1206;C11, C12, C27, C28;CAPACITOR, European symbol
1;1MEG;R-EU_0309/12;0309/12;R6;RESISTOR, European symbol
2;1nF;C-EUC0603;C0603;C31, C32;CAPACITOR, European symbol
2;1uF;C-EUC0603;C0603;C17, C18;CAPACITOR, European symbol
2;3300uF 25V;CPOL-EUE7.5-16;E7,5-16;C23, C24;POLARIZED CAPACITOR, European symbol
2;4700uF 16V;CPOL-EUE7.5-16;E7,5-16;C9, C10;POLARIZED CAPACITOR, European symbol
2;47uF 16V 1210;C-EUC1210;C1210;C25, C26;CAPACITOR, European symbol
3;S10K300;S10K300;S10K300;R1, R4, R5;VARISTOR
1;Talema 70022K 5VA 2x12Vac;TALEMA_70000;TALEMA_70000;L2;TRANSFORMER
1;Hammond 1591XXSSFLBK;;;;ABS Enclosure, IP54, Flanged, 112.52 x 84.62 x 41.25mm
1;FIX-GR-1 ;;;;Rubber grommet
2;FIX-GR-30;;;;Rubber grommet
2;TPS7A4700;TPS7A4700;VQFN20;U1, U2;Ultralow-noise LDO 
1; TAKAMISAWA NA12W-K;;;;
1;SU9V-R01180;SU9V-R01180;SU9V-R01180;L1;Common mode choke
2;KF301-3P;MKDSN1,5/3-5,08;MKDSN1,5/3-5,08;X1, X2;MKDSN 1,5/ 3-5,08 Printklemme
1;KF301-2P;;;;
1;47nF 600V 473J ;C-EU102-064X133;C102-064X133;C19;CAPACITOR, European symbol
2;4.7nF Class Y  VY1472M61Y5UC63V0;C-EU102-054X133;C102-054X133;C21, C22;CAPACITOR, European symbol
1;100nF 400V 104J ;C-EU150-064X183;C150-064X183;C20;CAPACITOR, European symbol
1;FUSEX20MM;FUSEX20MM;FUSE_5MM;F1;
14;100nF : type MLCC?!;C-EUC0603;C0603;C1, C2, C3, C4, C5, C6, C7, C8, C13, C14, C15, C16, C29, C30;CAPACITOR, European symbol
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
